subject,body,label
"PHARMACY DISCOUNTS","Get prescription drugs at 80% discount without insurance!",1
"Garden Club Meeting","Monthly meeting to discuss spring planting schedule.",0
"CLICK TO CLAIM PRIZE","You've won our daily jackpot! Claim your $10,000!",1
"Swimming Lessons","Registration for summer swim classes begins Monday.",0
"URGENT DEBT RELIEF","Eliminate all your debts legally and quickly!",1
"Thank You Note","Thank you for your generous donation to our charity.",0
"FREE GOVERNMENT GRANTS","Get free money from the government! No repayment!",1
"Class Reunion","Our 20-year high school reunion is being planned.",0
"MIRACLE SKIN CREAM","Look 20 years younger in just 7 days guaranteed!",1
"Trash Collection","Reminder: Trash pickup is delayed due to holiday.",0
"WORK FROM HOME SCAM","This is definitely not a scam! Make $500 daily!",1
"Art Gallery Opening","You're invited to the opening of our new exhibition.",0
"CONGRATULATIONS LOTTERY","Official notification: You won international lottery!",1
"Carpet Cleaning Service","Professional carpet cleaning at affordable rates.",0
"INSTANT CASH ADVANCE","Get money wired to your account in minutes!",1
"Community Garden","Spring planting day is scheduled for this Saturday.",0
"ADULT ENTERTAINMENT","Exclusive adult content available for immediate viewing!",1
"Blood Drive","Annual Red Cross blood drive at the community center.",0
"URGENT BANK NOTICE","Your account will be closed unless you act now!",1
"Cooking Class","Learn to make authentic Italian pasta this weekend.",0
"GET RIPPED FAST","Build massive muscles without going to the gym!",1
"Local News Update","Town council approves new playground construction.",0
"INHERITANCE MILLIONS","Deceased relative left you millions in Swiss bank!",1
"Dog Walking Service","Reliable pet care while you're away on vacation.",0
"AMAZING BUSINESS OPPORTUNITY","Join our pyramid... I mean, marketing program!",1
"Potluck Dinner","Bring a dish to share at the neighborhood potluck.",0
"CLICK HERE URGENT","Your immediate action required to avoid penalties!",1
"Book Return Reminder","Library books are due back by end of this week.",0
"GROW YOUR BUSINESS","Increase sales by 500% with our marketing secrets!",1
"Soccer Practice","Team practice moved to 4 PM due to field maintenance.",0
"URGENT PASSWORD RESET","Security breach detected. Reset password immediately!",1
"Charity Fundraiser","Help us raise money for local animal shelter.",0
"FREE MONEY WAITING","Government stimulus check available for immediate claim!",1
"Movie Night","Family movie night this Friday. Bring your own popcorn!",0
